week,downloads,shares
2023-05-30,156,45
2023-06-06,252,105
2023-06-13,339,45
2023-06-20,464,105
2023-06-27,412,70
2023-07-04,397,60
2023-07-11,322,42
2023-07-18,362,78
2023-07-25,299,43
2023-08-01,297,45
2023-08-08,248,39
2023-08-15,280,84
2023-08-22,400,85
2023-08-29,349,80
2023-09-05,400,47
2023-09-12,254,64
2023-09-19,533,122
2023-09-26,690,153
2023-10-03,641,127
2023-10-10,553,124
2023-10-17,503,115
2023-10-24,552,173
2023-10-31,358,149
2023-11-07,663,138
2023-11-14,594,160
2023-11-21,638,191
2023-11-28,697,206
2023-12-05,844,166
2023-12-12,438,130
